               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.036256,            0.066279,           0.0060024,              0.8331,             0.66033,              0.7201,             0.37599,            0.040103,            0.070129,            0.011382,            0.006064,            0.006064,            0.006064
                  48,            0.035726,            0.061999,           0.0054341,             0.80982,             0.67997,             0.72539,             0.37899,            0.040042,            0.070084,            0.011426,           0.0059235,           0.0059235,           0.0059235
                  49,            0.036169,            0.063759,           0.0059359,             0.83614,             0.67434,             0.73526,             0.38238,            0.039794,            0.070335,            0.010747,           0.0057826,           0.0057826,           0.0057826
                  50,            0.036015,             0.06426,           0.0054329,             0.80409,             0.68798,              0.7313,             0.37944,            0.039965,             0.07071,            0.010903,           0.0056413,           0.0056413,           0.0056413
                  51,            0.035968,             0.06444,           0.0052865,             0.83751,             0.67999,             0.73656,             0.38263,            0.039805,            0.070894,            0.010527,              0.0055,              0.0055,              0.0055
                  52,            0.035534,             0.06383,           0.0052824,             0.83475,             0.68533,             0.73815,             0.38591,            0.039696,            0.070104,            0.010946,           0.0053587,           0.0053587,           0.0053587
                  53,            0.035297,            0.063482,           0.0051563,             0.85329,             0.67828,              0.7444,             0.38778,            0.039508,            0.070716,            0.010853,           0.0052174,           0.0052174,           0.0052174
                  54,            0.035441,            0.064133,           0.0051948,             0.81502,             0.68534,             0.72785,             0.38084,            0.039953,            0.070936,            0.011013,           0.0050765,           0.0050765,           0.0050765
                  55,            0.035441,            0.061658,           0.0050718,             0.81681,             0.68678,             0.73046,             0.38411,            0.039666,            0.070596,            0.011398,            0.004936,            0.004936,            0.004936
                  56,            0.035058,              0.0631,           0.0049629,             0.85316,             0.68328,             0.74309,             0.38367,             0.04019,            0.071164,            0.010741,            0.004796,            0.004796,            0.004796
                  57,            0.035088,            0.061309,           0.0052005,             0.85069,             0.66192,             0.73205,             0.38691,            0.039647,            0.071055,            0.011147,           0.0046568,           0.0046568,           0.0046568
                  58,            0.034723,            0.061494,           0.0047755,             0.81575,             0.68096,             0.72624,              0.3789,             0.04003,            0.070672,            0.011285,           0.0045184,           0.0045184,           0.0045184
                  59,            0.035202,            0.065925,           0.0047733,             0.84505,             0.66874,             0.73465,             0.38828,             0.03945,            0.070623,            0.011252,           0.0043809,           0.0043809,           0.0043809
                  60,            0.035119,            0.062844,           0.0046834,             0.83405,             0.68469,             0.73565,             0.38083,            0.039805,            0.070515,            0.011525,           0.0042445,           0.0042445,           0.0042445
                  61,            0.034353,            0.061208,           0.0047005,             0.83182,              0.6784,             0.72796,             0.38129,            0.039759,            0.070987,            0.011552,           0.0041094,           0.0041094,           0.0041094
                  62,            0.034623,            0.061601,            0.004473,             0.84371,             0.66905,             0.73697,             0.38699,            0.039607,             0.07123,            0.011174,           0.0039757,           0.0039757,           0.0039757
                  63,            0.034471,            0.064122,           0.0045592,             0.83173,             0.68755,             0.73977,             0.38355,            0.039722,            0.071078,            0.011235,           0.0038434,           0.0038434,           0.0038434
                  64,            0.034298,            0.062561,           0.0045361,             0.82219,             0.68763,             0.73245,             0.38443,            0.039605,            0.071477,            0.011375,           0.0037128,           0.0037128,           0.0037128
                  65,            0.034053,            0.057552,           0.0042262,             0.85352,             0.67423,             0.73471,             0.38753,            0.039751,            0.070999,            0.010858,            0.003584,            0.003584,            0.003584
                  66,            0.033876,            0.062674,           0.0041417,             0.82417,             0.69135,             0.73468,             0.38444,            0.039776,            0.072113,            0.011367,            0.003457,            0.003457,            0.003457
                  67,            0.033589,            0.059026,           0.0040568,             0.81329,             0.69483,              0.7353,             0.38585,            0.039753,            0.072209,            0.011538,           0.0033321,           0.0033321,           0.0033321
                  68,            0.034031,            0.061808,           0.0043173,             0.83928,             0.67917,             0.73468,             0.38763,            0.039649,            0.072043,            0.011273,           0.0032093,           0.0032093,           0.0032093
                  69,            0.033655,            0.060109,           0.0040348,             0.84732,             0.67376,             0.73365,             0.38337,            0.039833,            0.072488,            0.011339,           0.0030888,           0.0030888,           0.0030888
                  70,            0.033508,             0.05906,           0.0041535,             0.85122,             0.67356,             0.73428,              0.3859,            0.039601,            0.072214,            0.011538,           0.0029706,           0.0029706,           0.0029706
                  71,            0.032479,            0.058094,           0.0033131,              0.8578,             0.65839,             0.72382,             0.38268,            0.039952,            0.074365,            0.012179,            0.002855,            0.002855,            0.002855
                  72,            0.032141,            0.053124,           0.0029122,             0.84993,             0.67473,             0.72919,             0.38499,            0.040045,            0.074756,            0.012129,           0.0027419,           0.0027419,           0.0027419
                  73,            0.031977,            0.057482,           0.0029008,             0.81656,              0.6845,             0.72022,             0.38081,            0.040235,            0.076533,            0.012667,           0.0026316,           0.0026316,           0.0026316
                  74,            0.031752,            0.054534,           0.0028729,             0.85078,             0.66677,             0.72613,             0.38037,            0.040489,            0.076669,            0.012568,           0.0025241,           0.0025241,           0.0025241
                  75,             0.03212,            0.056807,           0.0029736,             0.85793,             0.64921,             0.72193,              0.3831,            0.040146,            0.076669,            0.012264,           0.0024195,           0.0024195,           0.0024195
                  76,            0.031811,            0.055351,           0.0028816,             0.82157,             0.68326,             0.72693,              0.3842,            0.040241,            0.075366,            0.012125,            0.002318,            0.002318,            0.002318
                  77,            0.031724,            0.054431,           0.0029503,             0.84553,             0.66696,             0.72115,             0.37994,              0.0405,            0.076877,            0.012674,           0.0022196,           0.0022196,           0.0022196
                  78,              0.0332,            0.057508,           0.0039464,             0.82354,             0.66391,             0.71735,              0.3831,            0.040033,            0.072641,            0.012507,           0.0021245,           0.0021245,           0.0021245
                  79,            0.033032,            0.057305,           0.0038007,             0.84381,             0.68824,             0.73705,             0.38677,            0.039917,             0.07296,            0.011415,           0.0020327,           0.0020327,           0.0020327
                  80,            0.033069,            0.060778,            0.003742,             0.83396,              0.6871,             0.73474,             0.38951,            0.039853,            0.072556,            0.011765,           0.0019443,           0.0019443,           0.0019443
                  81,             0.03308,            0.061343,           0.0038499,             0.84362,             0.67109,             0.73292,             0.38787,             0.03996,             0.07284,            0.011556,           0.0018594,           0.0018594,           0.0018594
                  82,            0.032558,            0.057271,           0.0036147,             0.84472,             0.67954,             0.73723,             0.39074,            0.039824,            0.072221,            0.011431,           0.0017781,           0.0017781,           0.0017781
                  83,             0.03264,            0.057451,           0.0034218,             0.82103,             0.69479,             0.73775,             0.38792,            0.039799,            0.072382,            0.011746,           0.0017005,           0.0017005,           0.0017005
                  84,             0.03236,            0.056771,           0.0034521,             0.80219,             0.69297,             0.73237,              0.3887,            0.039895,            0.073532,            0.011575,           0.0016267,           0.0016267,           0.0016267
                  85,            0.032661,            0.059467,           0.0036081,             0.83872,             0.68135,             0.73342,             0.38862,            0.039747,            0.073214,            0.011595,           0.0015566,           0.0015566,           0.0015566
                  86,             0.03198,            0.055507,           0.0033093,             0.83487,             0.68102,             0.72973,             0.38653,            0.039833,            0.074024,            0.011743,           0.0014905,           0.0014905,           0.0014905
                  87,            0.032637,            0.057172,           0.0035641,             0.85284,             0.66438,             0.73166,             0.38923,            0.039722,            0.074205,            0.011577,           0.0014283,           0.0014283,           0.0014283
                  88,            0.032481,            0.057711,           0.0033913,             0.82623,             0.67328,             0.72889,             0.38663,            0.039789,            0.073365,            0.011684,           0.0013701,           0.0013701,           0.0013701
                  89,            0.032471,            0.058067,           0.0033468,             0.84463,              0.6719,             0.73063,             0.38608,            0.039886,            0.074203,            0.011954,            0.001316,            0.001316,            0.001316
                  90,            0.030921,            0.054995,           0.0026829,             0.84502,             0.66168,             0.72537,             0.38263,            0.040104,             0.07691,            0.012257,            0.001266,            0.001266,            0.001266
                  91,            0.030667,            0.050438,           0.0023812,             0.80064,               0.691,             0.72678,             0.38194,            0.040321,            0.078218,            0.012629,           0.0012202,           0.0012202,           0.0012202
                  92,            0.030468,            0.054249,           0.0023548,             0.83236,               0.668,             0.71809,             0.37561,            0.040518,            0.079585,             0.01315,           0.0011787,           0.0011787,           0.0011787
                  93,            0.030219,            0.051543,           0.0023389,             0.83724,             0.65652,              0.7157,             0.37586,            0.040605,            0.079163,            0.013038,           0.0011414,           0.0011414,           0.0011414
                  94,            0.029713,            0.051563,           0.0021745,             0.86026,             0.64149,             0.71496,             0.37839,             0.04064,            0.080171,             0.01324,           0.0011084,           0.0011084,           0.0011084
                  95,            0.028461,            0.048146,           0.0018079,             0.84125,             0.64619,             0.70837,             0.37376,            0.041177,            0.084311,            0.013558,           0.0010797,           0.0010797,           0.0010797
                  96,             0.02952,              0.0475,           0.0019137,             0.83501,             0.65506,             0.70928,             0.37382,             0.04109,            0.082835,            0.013594,           0.0010554,           0.0010554,           0.0010554
                  97,            0.029382,            0.050911,           0.0019146,             0.80739,             0.66538,             0.70255,             0.36917,            0.041217,            0.084562,            0.013983,           0.0010355,           0.0010355,           0.0010355
                  98,            0.029168,              0.0487,           0.0019559,              0.8427,             0.65225,             0.70336,             0.36982,            0.041239,            0.082915,             0.01384,             0.00102,             0.00102,             0.00102
                  99,            0.030698,            0.053733,           0.0024267,             0.82909,             0.67716,             0.71465,             0.37509,             0.04094,            0.080466,            0.013205,           0.0010089,           0.0010089,           0.0010089
